电视频道,#genre#
CCTV1,http://m.061899.xyz/mg/cctv1
CCTV1,http://go.bkpcp.top/mg/cctv1
CCTV1,http://k.061899.xyz/k.php?id=cctv1
CCTV1,http://120.202.94.181:9446/tsfile/live/0001_1.m3u8?authid=0&key=txiptv&playlive=0
CCTV1,https://live.264788.xyz/channel/cctv1?livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk&streamid=40cf2f40582b104fb087535f9601ea19
CCTV1,http://221.7.175.154:8445/tsfile/live/1000_1.m3u8?authid=0%24%C3%A5%C2%B9%C2%BF%C3%A8%C2%A5%C2%BF%C3%A5%C5%92%E2%80%94%C3%A6%C2%B5%C2%B7%C3%A8%EF%BF%BD%E2%80%9D%C3%A9%E2%82%AC%C5%A1&key=txiptv&playlive=1
CCTV1,http://69.30.246.194/live/cctv1.m3u8
CCTV1,http://t.061899.xyz/tl/tl.php?id=cctv1
CCTV1,http://120.76.248.139/live/bfgd/4200000489.m3u8
CCTV1,http://42.237.154.160:9003/hls/1/index.m3u8
CCTV1,http://222.214.208.34:59901/tsfile/live/0001_1.m3u8
CCTV1,http://112.27.235.94:8000/hls/1/index.m3u8
CCTV1,http://39.165.39.49:85/tsfile/live/1001_1.m3u8?authid=0%24%C3%A6%C2%B2%C2%B3%C3%A5%EF%BF%BD%E2%80%94%C3%A7%C2%A7%C2%BB%C3%A5%C5%A0%C2%A8%C3%A9%E2%80%A6%E2%80%99%C3%A5%C2%BA%E2%80%94&key=txiptv&playlive=0
CCTV1,http://z.b.bkpcp.top/m.php?id=cctv1
CCTV1,http://192.151.150.154/live/cctv1hd.m3u8
CCTV1,http://123.113.104.82:85/tsfile/live/0001_1.m3u8?authid=0&key=txiptv&playlive=1
CCTV1,http://69.30.245.50/live/cctv1.m3u8
CCTV1,http://183.214.23.16:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-1H265_4000.m3u8
CCTV1,http://43.251.226.110:8880/play/606.m3u8
CCTV1,http://43.251.226.110:8880/play/605.m3u8
CCTV1,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv1
CCTV1,https://live.264788.xyz/channel/cctv1?livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk&streamid=0361e56ecb002b71992e2389d940833d
CCTV1,http://125.125.134.234:9901/tsfile/live/0001_1.m3u8?authid=0%24LR%E2%80%A215%E2%80%A2IPV4%E3%80%8E%E7%BA%BF%E8%B7%AF2%E3%80%8F&key=txiptv&playlive=1
CCTV1,https://iptv.catvod.com/live.php?id=CCTV1&line=14
CCTV1,http://120.76.248.139/live/bfgd/4200000488.m3u8
CCTV1,http://j.s.bkpcp.top/jj/cctv1
CCTV1,https://www.freetv.top/migu/608807420.m3u8?migutoken=5b04cf0d91179ab2d3d71703f0a8bc3d32dd02f7d8fb55ee70e05c216b8a9d1a73d911fbde798459fb66d94934157c996f8306c0dd37917775f2ed73dcc22cf84b25ca500bff5c636ff48d6344
CCTV1,http://107.150.60.122/live/cctv1hd.m3u8
CCTV1,http://43.251.226.110:8880/play/10.m3u8
CCTV1,http://74.91.26.218:82/live/cctv1hd.m3u8
CCTV1,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv1hd
CCTV1,http://43.251.226.110:8880/play/86.m3u8
CCTV1,http://101.200.122.188:1234/608807420
CCTV1,http://198.204.228.26/live/cctv1hd.m3u8
CCTV1,http://play.kankanlive.com/live/1698234869325962.m3u8
CCTV1,http://120.76.248.139/live/bfgd/4200000484.m3u8
CCTV1,http://120.76.248.139/live/bfgd/4200000201.m3u8
CCTV1,http://222.169.85.8:9901/tsfile/live/0001_1.m3u8?authid=0&key=txiptv&playlive=1
CCTV1,http://124.116.183.146:9901/tsfile/live/0001_1.m3u8
CCTV1,http://1.31.14.70:54321/hls/2/index.m3u8
CCTV1,http://223.95.198.3:8000/hls/1/index.m3u8
CCTV1,http://123.160.20.172:85/tsfile/live/0001_1.m3u8?authid=0&key=txiptv&playlive=1
CCTV1,http://61.184.46.85:85/tsfile/live/0001_1.m3u8?authid=0%24%C3%A8%EF%BF%BD%E2%80%A0%C3%A5%C2%B7%EF%BF%BD%C3%A7%E2%80%9D%C2%B5%C3%A4%C2%BF%C2%A1&key=txiptv&playlive=1
CCTV1,http://101.66.195.20:9901/tsfile/live/0001_1.m3u8?authid=0%24LR%E2%80%A215%E2%80%A2IPV4%E3%80%8E%E7%BA%BF%E8%B7%AF3%E3%80%8F&key=txiptv&playlive=0
CCTV1,http://113.241.133.180:85/tsfile/live/0001_1.m3u8?authid=0&key=txiptv&playlive=1
CCTV1,http://153.0.171.163:85/tsfile/live/0001_1.m3u8?authid=0&key=txiptv&playlive=1

CCTV2,http://223.95.198.3:8000/hls/2/index.m3u8
CCTV2,https://live.264788.xyz/channel/cctv2?livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk&streamid=383d98765abf4549a5a799274f495f00
CCTV2,http://123.113.104.82:85/tsfile/live/0002_1.m3u8?authid=0&key=txiptv&playlive=1
CCTV2,https://live.264788.xyz/channel/cctv2?livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk&streamid=f3dda6ea205b8de722bbab201bd0bc9b
CCTV2,http://221.7.175.154:8445/tsfile/live/1001_1.m3u8?authid=0%24%C3%A5%C2%B9%C2%BF%C3%A8%C2%A5%C2%BF%C3%A5%C5%92%E2%80%94%C3%A6%C2%B5%C2%B7%C3%A8%EF%BF%BD%E2%80%9D%C3%A9%E2%82%AC%C5%A1&key=txiptv&playlive=1
CCTV2,http://183.223.157.33:9901/tsfile/live/0002_1.m3u8?authid=0&key=txiptv&playlive=1
CCTV2,https://live.264788.xyz/channel/cctv2?livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk&streamid=da40669354aad7a342bfad794406bd61
CCTV2,http://125.125.134.234:9901/tsfile/live/0002_1.m3u8?authid=0%24LR%E2%80%A216%E2%80%A2IPV4%E3%80%8E%E7%BA%BF%E8%B7%AF4%E3%80%8F&key=txiptv&playlive=1
CCTV2,http://43.251.226.110:8880/play/13.m3u8
CCTV2,http://183.214.23.16:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-2H265_4000.m3u8
CCTV2,http://112.27.235.94:8000/hls/2/index.m3u8
CCTV2,http://iptv.4666888.xyz/iptv2A.php?id=8
CCTV2,https://iptv.catvod.com/live.php?id=CCTV2&line=5
CCTV2,http://198.204.228.26/live/cctv2hd.m3u8
CCTV2,http://123.14.80.113:9003/hls/2/index.m3u8
CCTV2,http://120.76.248.139/live/bfgd/4200000061.m3u8
CCTV2,http://69.30.245.50/live/cctv2.m3u8
CCTV2,https://iptv.catvod.com/live.php?id=CCTV2&line=5%24LR%E2%80%A216%E2%80%A2IPV4%E3%80%8E%E7%BA%BF%E8%B7%AF13%E3%80%8F
CCTV2,http://60.10.139.113:8801/hls/2/index.m3u8
CCTV2,http://120.202.94.181:9446/tsfile/live/0002_1.m3u8?authid=0&key=txiptv&playlive=0
CCTV2,http://m.061899.xyz/mg/cctv2
CCTV2,http://j.s.bkpcp.top/jj/cctv2
CCTV2,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv2
CCTV2,http://t.061899.xyz/tl/tl.php?id=cctv2
CCTV2,http://go.bkpcp.top/mg/cctv2
CCTV2,http://k.061899.xyz/k.php?id=cctv2
CCTV2,http://43.251.226.110:8880/play/329.m3u8
CCTV2,http://113.241.133.180:85/tsfile/live/0002_1.m3u8?authid=0&key=txiptv&playlive=1
CCTV2,http://43.251.226.110:8880/play/418.m3u8
CCTV2,http://43.251.226.110:8880/play/371.m3u8
CCTV2,http://101.200.122.188:1234/631780532
CCTV2,http://z.b.bkpcp.top/m.php?id=cctv2
CCTV2,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv2hd
CCTV2,http://107.150.60.122/live/cctv2hd.m3u8
CCTV2,http://43.251.226.110:8880/play/12.m3u8
CCTV2,http://116.76.254.170:44330/tsfile/live/0002_1.m3u8?authid=0&key=txiptv&playlive=0
CCTV2,http://222.169.85.8:9901/tsfile/live/0002_1.m3u8
CCTV2,http://222.214.208.34:59901/tsfile/live/0002_1.m3u8
CCTV2,http://61.184.46.85:85/tsfile/live/0002_1.m3u8?authid=0%24%E8%8D%86%E5%B7%9E%E7%94%B5%E4%BF%A1&key=txiptv&playlive=1
CCTV2,http://39.165.39.49:85/tsfile/live/1002_1.m3u8?authid=0%24%C3%A6%C2%B2%C2%B3%C3%A5%EF%BF%BD%E2%80%94%C3%A7%C2%A7%C2%BB%C3%A5%C5%A0%C2%A8%C3%A9%E2%80%A6%E2%80%99%C3%A5%C2%BA%E2%80%94&key=txiptv&playlive=0
CCTV2,http://61.184.46.85:85/tsfile/live/0002_1.m3u8?authid=0%24%C3%A8%EF%BF%BD%E2%80%A0%C3%A5%C2%B7%EF%BF%BD%C3%A7%E2%80%9D%C2%B5%C3%A4%C2%BF%C2%A1&key=txiptv&playlive=1
CCTV2,http://222.169.85.8:9901/tsfile/live/0002_1.m3u8?authid=0&key=txiptv&playlive=1

CCTV3,http://1.31.14.70:54321/hls/6/index.m3u8
CCTV3,http://42.237.154.160:9003/hls/3/index.m3u8
CCTV3,http://120.202.94.181:9446/tsfile/live/0003_1.m3u8?authid=0&key=txiptv&playlive=0
CCTV3,http://125.125.134.234:9901/tsfile/live/0003_1.m3u8?authid=0%24LR%E2%80%A211%E2%80%A2IPV4%E3%80%8E%E7%BA%BF%E8%B7%AF6%E3%80%8F&key=txiptv&playlive=1
CCTV3,http://43.251.226.110:8880/play/15.m3u8
CCTV3,http://101.66.195.20:9901/tsfile/live/0003_1.m3u8?authid=0%24LR%E2%80%A211%E2%80%A2IPV4%E3%80%8E%E7%BA%BF%E8%B7%AF5%E3%80%8F&key=txiptv&playlive=0
CCTV3,https://live.264788.xyz/channel/cctv3?livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk&streamid=7cf5005abb2cf8ff19569c4e23a386da
CCTV3,http://69.30.245.50/live/cctv3.m3u8
CCTV3,http://123.14.80.113:9003/hls/3/index.m3u8
CCTV3,http://60.10.139.113:8801/hls/3/index.m3u8
CCTV3,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv3
CCTV3,http://go.bkpcp.top/mg/cctv3
CCTV3,http://m.061899.xyz/mg/cctv3
CCTV3,http://j.s.bkpcp.top/jj/cctv3
CCTV3,http://123.113.104.82:85/tsfile/live/0003_1.m3u8?authid=0&key=txiptv&playlive=1
CCTV3,http://221.7.175.154:8445/tsfile/live/1002_1.m3u8?authid=0%24%C3%A5%C2%B9%C2%BF%C3%A8%C2%A5%C2%BF%C3%A5%C5%92%E2%80%94%C3%A6%C2%B5%C2%B7%C3%A8%EF%BF%BD%E2%80%9D%C3%A9%E2%82%AC%C5%A1&key=txiptv&playlive=1
CCTV3,http://198.204.228.26/live/cctv3hd.m3u8
CCTV3,https://live.264788.xyz/channel/cctv3?livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk&streamid=2732ee7572f54fe1c1e6af80a49a6786
CCTV3,http://183.214.23.16:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-3H265_4000.m3u8
CCTV3,http://123.160.20.172:85/tsfile/live/0003_1.m3u8?authid=0&key=txiptv&playlive=1
CCTV3,http://z.b.bkpcp.top/m.php?id=cctv3
CCTV3,https://iptv.catvod.com/live.php?id=CCTV3&line=4
CCTV3,https://iptv.catvod.com/live.php?id=CCTV3&line=3
CCTV3,http://iptv.4666888.xyz/iptv2A.php?id=9
CCTV3,http://t.061899.xyz/tl/tl.php?id=cctv3
CCTV3,http://112.27.235.94:8000/hls/3/index.m3u8
CCTV3,http://223.95.198.3:8000/hls/3/index.m3u8
CCTV3,http://222.214.208.34:59901/tsfile/live/0003_1.m3u8
CCTV3,http://39.165.39.49:85/tsfile/live/1003_1.m3u8?authid=0%24%C3%A6%C2%B2%C2%B3%C3%A5%EF%BF%BD%E2%80%94%C3%A7%C2%A7%C2%BB%C3%A5%C5%A0%C2%A8%C3%A9%E2%80%A6%E2%80%99%C3%A5%C2%BA%E2%80%94&key=txiptv&playlive=0
CCTV3,http://192.151.150.154/live/cctv3hd.m3u8
CCTV3,http://107.150.60.122/live/cctv3hd.m3u8
CCTV3,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv3hd
CCTV3,http://43.251.226.110:8880/play/14.m3u8
CCTV3,https://live.264788.xyz/channel/cctv3?livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk&streamid=d0473114041b533ea069452f29f33588
CCTV3,http://43.251.226.110:8880/play/372.m3u8
CCTV3,http://43.251.226.110:8880/play/330.m3u8
CCTV3,http://101.200.122.188:1234/624878271
CCTV3,http://116.76.254.170:44330/tsfile/live/0003_1.m3u8?authid=0&key=txiptv&playlive=0
CCTV3,http://222.169.85.8:9901/tsfile/live/0003_1.m3u8?authid=0&key=txiptv&playlive=1
CCTV3,http://183.223.157.33:9901/tsfile/live/0003_1.m3u8?authid=0&key=txiptv&playlive=1
CCTV3,http://113.241.133.180:85/tsfile/live/0003_1.m3u8?authid=0&key=txiptv&playlive=1
CCTV3,http://43.251.226.110:8880/play/609.m3u8
CCTV3,http://61.184.46.85:85/tsfile/live/0003_1.m3u8?authid=0%24%C3%A8%EF%BF%BD%E2%80%A0%C3%A5%C2%B7%EF%BF%BD%C3%A7%E2%80%9D%C2%B5%C3%A4%C2%BF%C2%A1&key=txiptv&playlive=1
CCTV3,http://14.152.102.71:9901/tsfile/live/0003_1.m3u8?authid=0&key=txiptv&playlive=1
CCTV3,http://153.0.171.163:85/tsfile/live/1002_1.m3u8?authid=0&key=txiptv&playlive=1

CCTV4,http://183.214.23.16:2380/hw1live.rxip.sc96655.com.huan.tv/live/ys4Kcq_2000.m3u8
CCTV4,https://live.264788.xyz/channel/cctv4k?livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk&streamid=dc08cf9ff7243e2392ad3c40024e31b8
CCTV4,https://live.264788.xyz/channel/cctv4k?livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk&streamid=ddf7c8a2b9355fd0327077c06958bd0f
CCTV4,https://live.264788.xyz/channel/cctv4k?livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk&streamid=69b8ad870d6e6b638349a2eb5d3c6e98
CCTV4,https://live.264788.xyz/channel/cctv4?livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk&streamid=cc1a7c2d76ea7e0ab85515d9318d6a67
CCTV4,http://69.30.245.50/live/cctv4.m3u8
CCTV4,http://43.251.226.110:8880/play/17.m3u8
CCTV4,http://123.113.104.82:85/tsfile/live/0004_1.m3u8?authid=0&key=txiptv&playlive=1
CCTV4,http://43.251.226.110:8880/play/16.m3u8
CCTV4,http://123.14.80.113:9003/hls/4/index.m3u8
CCTV4,http://198.204.228.26/live/cctv4hd.m3u8
CCTV4,https://live.264788.xyz/channel/cctv4?livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk&streamid=d9c90dcbb55c328cbe6415daad8f9b79
CCTV4,http://120.202.94.181:9446/tsfile/live/0004_1.m3u8?authid=0&key=txiptv&playlive=0
CCTV4,https://live-play-hls.cctvnews.cctv.com/CCTVChannel/channel_cctv4_mbd.m3u8?auth_key=1777046400-1-b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c-1cd51e628985aa1d9fe55e5bba909728&yid=b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c
CCTV4,http://39.165.39.49:85/tsfile/live/1004_1.m3u8?authid=0%24%C3%A6%C2%B2%C2%B3%C3%A5%EF%BF%BD%E2%80%94%C3%A7%C2%A7%C2%BB%C3%A5%C5%A0%C2%A8%C3%A9%E2%80%A6%E2%80%99%C3%A5%C2%BA%E2%80%94&key=txiptv&playlive=0
CCTV4,http://107.150.60.122/live/cctv4k.m3u8
CCTV4,http://rihou.cc:555/tv/CCTV4K
CCTV4,https://iptv.catvod.com/live.php?id=CCTV4&line=3%24LR%E2%80%A216%E2%80%A2IPV4%E3%80%8E%E7%BA%BF%E8%B7%AF11%E3%80%8F
CCTV4,http://43.251.226.110:8880/play/470.m3u8
