电视频道,#genre#
CCTV1,http://113.241.133.180:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://183.223.157.33:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://114.241.111.4:85/tsfile/live/1/1001_1.m3u8?key=txiptv$åŒ—äº¬è�”é€šé…’åº—
CCTV1,http://112.27.235.94:8000/hls/1/index.m3u8
CCTV1,http://221.7.175.154:8445/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0$å¹¿è¥¿åŒ—æµ·è�”é€š
CCTV1,http://125.43.244.73:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://112.92.129.96:9898/hls/18/index.m3u8
CCTV1,http://175.154.151.98:808/hls/1/index.m3u8
CCTV1,http://222.214.208.34:59901/tsfile/live/0001_1.m3u8
CCTV1,http://107.150.60.122/live/cctv1hd.m3u8
CCTV1,https://live.264788.xyz/channel/cctv1?streamid=cccb6b9cad34d95eaf06a39fcf6acd9e&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV1,https://live.264788.xyz/channel/cctv1?streamid=0361e56ecb002b71992e2389d940833d&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV1,http://fm1077.serv00.net/Smart.php?id=cctv1$LR•9•IPV4『线路9』
CCTV1,http://124.236.93.22:2380/ywotttv.bj.chinamobile.com/TVOD/88888888/224/3221226431/1.m3u8
CCTV1,http://39.165.39.49:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0$æ²³å�—ç§»åŠ¨é…’åº—
CCTV1,http://192.151.150.154/live/cctv1hd.m3u8
CCTV1,http://198.204.228.26/live/cctv1hd.m3u8
CCTV1,http://60.10.139.113:8801/hls/1/index.m3u8
CCTV1,http://43.251.226.110:8880/play/3.m3u8
CCTV1,http://223.95.198.3:8000/hls/1/index.m3u8
CCTV1,http://43.251.226.110:8880/play/4.m3u8
CCTV1,http://120.202.94.181:9446/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009
CCTV1,http://69.30.246.194/live/cctv1.m3u8
CCTV1,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-1H265_4000.m3u8
CCTV1,https://iptv.catvod.com/live.php?id=CCTV1&line=4
CCTV1,https://iptv.catvod.com/live.php?id=CCTV1&line=6
CCTV1,https://iptv.catvod.com/live.php?id=CCTV1&line=14
CCTV1,https://iptv.catvod.com/live.php?id=CCTV1&line=16
CCTV1,https://iptv.catvod.com/live.php?id=CCTV1&line=4$LR•9•IPV4『线路4』
CCTV1,https://iptv.catvod.com/live.php?id=CCTV1&line=6$LR•9•IPV4『线路5』
CCTV1,https://iptv.catvod.com/live.php?id=CCTV1&line=14$LR•9•IPV4『线路6』
CCTV1,https://iptv.catvod.com/live.php?id=CCTV1&line=16$LR•9•IPV4『线路7』
CCTV1,http://125.43.244.73:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0$LR•9•IPV4『线路2』
CCTV1,http://38.75.136.137:98/gslb/dsdqpub/cctv1hd.m3u8?auth=testpub
CCTV1,http://43.251.226.110:8880/play/79.m3u8
CCTV1,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv1hd
CCTV1,http://124.116.183.146:9901/tsfile/live/0001_1.m3u8
CCTV1,http://101.200.122.188:1234/608807420
CCTV1,http://14.152.102.71:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,https://live.264788.xyz/channel/cctv1?streamid=107a756f519973a7e95798c05737a47c&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV1,http://117.72.203.216:3000/608807420
CCTV1,http://153.0.171.163:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://play.kankanlive.com/live/1698234869325962.m3u8
CCTV1,http://74.91.26.218:82/live/cctv1hd.m3u8
CCTV1,https://www.freetv.top/migu/608807420.m3u8?migutoken=5b04cf0d91179ab2d3d71703f0a8bc3d32dd02f7d8fb55ee70e05c216b8a9d1a73d911fbde798459fb66d94934157c996f8306c0dd37917775f2ed73dcc22cf84b25ca500bff5c636ff48d6344
CCTV1,http://43.251.226.110:8880/play/576.m3u8
CCTV1,http://123.113.101.206:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$åŒ—äº¬è�”é€š123
CCTV1,http://43.251.226.110:8880/play/714.m3u8
CCTV1,http://43.251.226.110:8880/play/715.m3u8
CCTV1,http://111.221.137.234:44330/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,https://zby.130519.xyz/PLTV/11/224/3221225673/index.m3u8
CCTV1,https://zby.130519.xyz/PLTV/11/224/3221225770/index.m3u8
CCTV1,https://zby.130519.xyz/PLTV/11/224/3221226163/index.m3u8
CCTV1,https://zby.130519.xyz/PLTV/11/224/3221225723/index.m3u8
CCTV1,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/cctv1hd265/51/20191230/01.m3u8?msisdn=4f89b0f1d885527a227fd4a636419cfe&mdspid=&spid=699004&netType=4&sid=2201057821&pid=2028597139&timestamp=20260307131034&Channel_ID=0116_2600031500-99000-200300140100004&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=183.234.97.190&SecurityKey=20260307131034&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=WX-A1-9.2.2-RELEASE&userid=&jmhm=&videocodec=h265&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&mtv_session=81ae3d1812809a342e0a4843ced676d3&sv=10004&ct=android&playUrlSsn=4f89b0f1d885527a227fd4a636419cfe1772860232260&prlId=4f89b0f1d885527a227fd4a636419cfe1772860232276&jid=4f89b0f1d885527a227fd4a636419cfe1772860231371V&is_advertise=0&sjid=subsession_1772860232685&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=d997282dfe2ae9307aa33f2abfcd5db7
CCTV1,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/cctv1hd265/51/20191230/01.m3u8?msisdn=4f89b0f1d885527a227fd4a636419cfe&mdspid=&spid=699004&netType=4&sid=2201057821&pid=2028597139&timestamp=20260307130300&Channel_ID=0116_2600031500-99000-200300140100004&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=163.177.185.15&SecurityKey=20260307130300&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=WX-A1-9.2.2-RELEASE&userid=&jmhm=&videocodec=h265&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&mtv_session=5f0eeb8d86764d1e10addd571b47d7c9&sv=10004&ct=android&playUrlSsn=4f89b0f1d885527a227fd4a636419cfe1772859777846&prlId=4f89b0f1d885527a227fd4a636419cfe1772859777853&jid=4f89b0f1d885527a227fd4a636419cfe1772859777435V&is_advertise=0&sjid=subsession_1772859778175&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=c8286cd8df90b730dedcdc7c6e1adb0d
